tic_id,ra,dec,plx,pmRA,pmDEC,Teff,logg,MH,rad,lum,gallong,gallat,Tmag,Vmag,GAIAmag,source_id
379694055,340.489400404323,14.5163938862592,11.6995,94.5527,-20.8026,4709.0,,-0.02,9.14586,,81.9169414095462,-37.8356213785524,4.9622,5.92411,5.60181,2732372367384490880
128925287,341.022825943404,41.8192336563973,11.4726,-8.79215,3.63164,5030.43,,0.11,11.0477,,98.911774723008,-15.0367626172847,4.2926,5.10126,4.85744,1932994222486995968
434199907,341.632822684287,23.5656531845374,7.85157,57.4731,-9.18394,4889.66,,-0.0672,30.2697,,89.2580388908563,-31.0160175771052,3.08438,3.9463,3.67975,1876331990259358976
406406121,341.888015082121,-19.6133783177996,12.0902,-103.39,-205.545,4897.23,,-0.32,10.5601,,41.0959359637205,-60.6780930994106,4.4389,5.24,4.99175,2401210322775501184
377148985,342.420072784808,66.2004056276294,28.27,-66.0,-125.0,4715.08,,-0.025,,,111.06515132924,6.17502064792668,2.5549,3.5002,3.22161,2211820991085587584
44155570,342.500781373764,24.6015712151685,28.385,150.007,-40.2181,4997.17,,0.0286105,9.46942,,90.6795706323813,-30.5580879078615,2.6696,3.50019,3.26568,1876510592179455744
129483950,343.529093856836,40.3768704706484,10.3471,106.91,36.0872,4684.0,,,11.018,,99.9381536401396,-17.1988380267162,4.8592,5.815,5.49563,1929469531805599360
270377675,345.024124347226,-25.1641811184755,5.0829,35.496,-79.4368,4435.0,,,29.7902,,31.1049612535169,-64.9864753157544,4.53714,5.66,5.25106,2383582677481188864
310805963,345.17875108735,3.01180352657351,7.40837,4.95344,-83.6646,4226.88,,0.031,22.4576,,77.0604038303119,-49.7366681176337,4.66331,5.84605,5.4029,2655904357329351552
278870128,345.382121589685,-4.71146067030671,3.22477,11.8108,8.61579,5038.0,,,28.315,,68.6030950712508,-55.5253687419776,5.0839,5.9275,5.67451,2635933029985529472
427550855,345.8870114858,67.2092092096058,8.30408,22.3807,10.6088,4544.48,,0.264871,20.2332,,112.746726564038,6.49585188592192,4.19201,5.22325,4.87106,2212347171817904640
204350437,347.361650351214,-21.1724050479725,13.1759,53.4417,27.8541,4439.0,,,27.4201,,41.7604926303085,-66.0316585256036,2.6241,3.68198,3.32761,2386316510063903616
97130650,347.677651897845,17.5943725862205,6.52227,24.8007,-27.0424,4400.0,,,24.037,,91.4514875019146,-39.0424334929257,4.51736,5.65357,5.24581,2818605449444184192
4610441,348.972896892092,-9.08773367264332,22.6884,368.372,-17.1669,4658.92,,-0.0164009,10.3947,,67.0720915976771,-61.1120398950041,3.3221,4.23946,3.95311,2630155547353593216
262691761,349.29140069549,3.28228643900163,24.1899,760.266,18.5784,4834.68,,-0.515556,11.3065,,82.4825169262731,-52.0273527142619,2.8162,3.69252,3.41425,2658974606111711488
24791207,349.874195873419,48.6253226259041,11.5097,22.5966,52.689,4860.0,,,10.4426,,107.660134653923,-11.5011536312213,4.5688,5.45179,5.1653,1942451431236802816
,,,,,,,,,,,,,,,,2392584791494639744
,,,,,,,,,,,,,,,,2391835199442300544
354356126,351.992062379517,6.37899211482325,23.0027,-125.754,-43.1925,4746.81,,0.138667,9.64466,,88.8044669488332,-50.8776785558906,3.3625,4.26653,3.97546,2661524098698483456
270267986,356.985591997635,-2.76159875822223,10.8983,94.9977,5.46148,5074.91,,0.0391114,9.51354,,88.2760912434326,-61.285500729532,4.6878,5.49086,5.24602,2447690110960258176
455737585,357.420665861966,36.4252800620168,7.16923,-0.857702,-47.4024,5145.51,,-0.201061,12.1038,,109.283143814096,-24.804333970301,5.10479,5.87371,5.63681,2879545297298063488
228382044,357.638686356561,-14.4014986314053,5.51212,37.3729,-21.3161,4013.74,,-0.0489822,40.3249,,71.7804748287857,-70.9428160536694,4.28886,5.70234,5.10898,2419364634139939840
9710105,358.210538591329,-8.99675825891914,7.05477,62.6287,-24.2801,4629.0,,,17.5417,,82.8252763701154,-67.18628354568,4.76069,5.74454,5.41762,2435271676880027008
407995674,359.668221873035,-3.5559765400342,30.3052,-57.8584,-69.9602,5020.16,,0.0552632,4.76642,,92.5115912931338,-63.2677194116368,4.0432,4.88295,4.59657,2448049586839781376
