HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
162076,5018,2.98,1.24,0.04,5.69,0.09,13.04,0.68,1.18,-0.25,0.93,1.53,2.27,0.06,-0.05,0.89,0.03,8.89,0.03,-0.03,3.02,4552713063736075904
163532,4689,2.17,1.44,-0.06,5.44,0.53,7.66,0.71,-0.67,-0.39,-1.05,2.32,3.17,0.19,-0.28,1.34,0.05,8.55,0.14,-0.07,2.26,4177374600431607552
163917,4928,2.63,1.46,0.13,3.32,0.16,21.35,0.79,-0.19,-0.28,-0.47,2.09,3.04,0.06,-0.06,1.18,0.03,8.52,0.03,-0.03,2.56,4164319171172759040
165760,4962,2.52,1.41,-0.01,4.64,0.25,13.71,0.82,0.08,-0.27,-0.2,1.98,2.82,0.07,-0.14,1.12,0.03,8.63,0.12,-0.03,2.65,4481492679086077312
167042,4943,3.28,1.07,0.0,5.97,0.01,20.0,0.51,2.47,-0.28,2.19,1.02,1.5,0.18,-0.18,0.65,0.02,9.45,0.2,-0.16,3.32,2149564787289902848
167768,4895,2.13,1.44,-0.7,5.99,0.39,9.91,0.83,0.58,-0.3,0.28,1.79,2.07,0.01,-0.56,1.04,0.04,8.9,0.4,0.05,2.68,4270573397890617856
168656,5045,2.66,1.3,-0.06,4.85,0.29,12.11,0.83,-0.02,-0.25,-0.26,2.0,2.86,0.09,-0.08,1.12,0.04,8.6,0.05,-0.04,2.66,4278174940241609216
168723,4972,3.12,1.17,-0.18,3.23,0.06,52.81,0.75,1.78,-0.27,1.51,1.3,1.84,0.09,-0.23,0.78,0.02,9.14,0.19,-0.07,3.15,4269932382607207040
170474,4978,2.83,1.29,0.02,5.38,0.3,13.81,0.78,0.78,-0.27,0.51,1.7,2.47,0.06,-0.06,0.98,0.03,8.78,0.03,-0.03,2.88,4270433862989683328
171391,5057,2.79,1.23,-0.02,5.12,0.37,11.25,0.78,0.01,-0.24,-0.23,1.99,2.84,0.09,-0.08,1.11,0.04,8.62,0.04,-0.04,2.67,4154786748987811456
174980,5008,2.71,1.41,0.1,5.25,0.02,9.74,0.48,0.17,-0.26,-0.09,1.94,2.81,0.05,-0.06,1.09,0.03,8.62,0.03,-0.03,2.7,2267990637800956416
176598,5018,2.83,1.21,0.03,5.62,0.02,10.39,0.44,0.68,-0.25,0.42,1.73,2.52,0.04,-0.05,0.99,0.03,8.76,0.02,-0.03,2.86,2253743170425680896
176707,4777,2.27,1.38,-0.29,6.32,0.03,7.54,0.55,0.68,-0.35,0.33,1.77,2.01,0.13,-0.08,1.05,0.04,9.03,0.01,-0.08,2.64,2133883930413183744
177241,4906,2.7,1.36,0.01,3.76,0.13,23.49,0.78,0.48,-0.29,0.18,1.83,2.63,0.03,-0.28,1.06,0.02,8.71,0.2,-0.02,2.75,4081642115877635840
177249,5251,2.55,1.65,0.0,5.51,0.04,6.59,0.46,-0.44,-0.19,-0.63,2.15,3.12,0.14,-0.13,1.16,0.04,8.51,0.05,-0.05,2.62,2152902079959233152
180540,4951,2.34,1.76,-0.08,4.88,0.46,6.09,0.86,-1.66,-0.28,-1.93,2.67,4.34,0.27,-0.3,1.47,0.06,8.11,0.1,-0.05,2.14,4084276442652198400
180711,4885,2.62,1.38,-0.13,3.07,0.01,32.54,0.46,0.62,-0.3,0.32,1.77,2.32,0.19,-0.18,1.03,0.02,8.91,0.1,-0.16,2.74,2255173119658513408
181276,4986,2.78,1.32,0.04,3.8,0.01,26.48,0.49,0.9,-0.27,0.64,1.65,2.41,0.04,-0.04,0.95,0.02,8.81,0.02,-0.03,2.92,2139664063041544576
182694,5067,2.63,1.37,-0.04,5.85,0.06,8.06,0.47,0.32,-0.24,0.08,1.87,2.67,0.07,-0.06,1.05,0.03,8.69,0.03,-0.03,2.77,2126062687590513408
182762,4872,2.57,1.34,-0.07,5.14,0.1,13.78,0.74,0.74,-0.31,0.44,1.73,2.42,0.09,-0.42,1.01,0.03,8.82,0.31,-0.05,2.8,4515855716012824704
183491,4901,2.63,1.4,0.11,5.82,0.2,6.74,0.72,-0.24,-0.29,-0.53,2.11,3.07,0.21,-0.14,1.2,0.05,8.51,0.05,-0.08,2.53,2022884142834942464
184010,5011,3.17,1.16,-0.14,5.89,0.1,16.87,0.67,1.93,-0.26,1.67,1.23,1.82,0.07,-0.21,0.74,0.03,9.16,0.17,-0.05,3.22,2024845946447691264
185018,5467,1.85,2.31,-0.1,5.98,0.71,2.86,0.82,-2.45,-0.14,-2.59,2.94,4.76,0.24,-0.4,1.52,0.13,8.06,0.07,-0.08,2.08,4315051937466612608
185194,4978,2.44,1.54,0.03,5.67,0.19,6.89,0.72,-0.33,-0.27,-0.6,2.14,3.09,0.24,-0.16,1.2,0.05,8.52,0.06,-0.09,2.53,4321830946399905664
185351,5006,3.16,1.15,0.0,5.17,0.02,24.64,0.49,2.11,-0.26,1.85,1.16,1.76,0.1,-0.18,0.7,0.02,9.23,0.15,-0.08,3.28,2078403295235690112
185467,4937,2.7,1.45,0.13,5.97,0.28,7.86,0.97,0.17,-0.28,-0.11,1.95,2.83,0.16,-0.14,1.11,0.06,8.61,0.13,-0.07,2.67,6768668179881479424
185758,5535,2.39,1.87,0.01,4.39,0.19,6.89,0.69,-1.61,-0.13,-1.74,2.6,4.11,0.23,-0.2,1.34,0.05,8.18,0.06,-0.07,2.38,1824277055360974720
