HD,Teff,log_g,vt,Fe_H,mv,Av,p,e_p,Mv,BC,Mbol,log_L,M,e_M_pos,e_M_neg,log_R,e_log_R,log_age,e_log_age_pos,e_log_age_neg,log_g_TLM,source_id
5608,4854,3.03,1.08,0.06,5.99,0.06,17.19,0.83,2.11,-0.31,1.8,1.18,1.55,0.19,-0.23,0.74,0.03,9.4,0.24,-0.16,3.15,362706006713454208
5722,4893,2.49,1.39,-0.23,5.62,0.1,10.35,0.96,0.59,-0.3,0.29,1.78,2.26,0.25,-0.13,1.04,0.05,8.95,0.07,-0.2,2.72,2472524234636869248
6186,4829,2.3,1.35,-0.31,4.27,0.05,17.14,0.81,0.39,-0.32,0.06,1.88,2.3,0.26,-0.19,1.09,0.03,8.92,0.11,-0.21,2.61,2577673177300873216
7087,4908,2.39,1.53,-0.04,4.66,0.14,7.42,0.68,-1.13,-0.29,-1.43,2.47,3.83,0.22,-0.2,1.38,0.04,8.28,0.07,-0.07,2.27,2790237499690691840
9057,4883,2.49,1.37,0.04,5.27,0.09,11.26,0.77,0.44,-0.3,0.14,1.85,2.56,0.11,-0.2,1.07,0.04,8.78,0.13,-0.08,2.71,398968209436589312
9408,4746,2.21,1.4,-0.34,4.68,0.18,15.96,0.68,0.52,-0.36,0.16,1.83,2.04,0.15,-0.15,1.09,0.03,9.0,0.09,-0.1,2.57,509342237530006016
9774,4980,2.5,1.6,0.02,5.28,0.09,7.3,0.7,-0.49,-0.27,-0.76,2.2,3.25,0.23,-0.2,1.23,0.05,8.46,0.07,-0.08,2.49,534739611789943808
10348,4931,2.55,1.56,0.01,5.97,0.22,6.23,0.8,-0.28,-0.28,-0.56,2.12,3.04,0.3,-0.15,1.2,0.06,8.54,0.06,-0.1,2.52,302679818662240640
10761,4952,2.43,1.43,-0.05,4.26,0.07,12.63,0.86,-0.3,-0.28,-0.58,2.13,3.04,0.13,-0.12,1.2,0.04,8.53,0.05,-0.04,2.52,2572221764290136192
10975,4866,2.47,1.37,-0.17,5.94,0.1,10.57,0.72,0.96,-0.31,0.65,1.64,2.19,0.13,-0.19,0.97,0.04,8.94,0.1,-0.09,2.84,343449606741529728
11037,4862,2.45,1.33,-0.14,5.91,0.08,9.95,0.89,0.82,-0.31,0.51,1.7,2.3,0.12,-0.17,1.0,0.04,8.88,0.08,-0.08,2.8,2512824943566639232
11949,4845,2.85,1.17,-0.1,5.7,0.11,13.25,0.71,1.2,-0.32,0.88,1.55,2.17,0.07,-0.19,0.93,0.03,8.94,0.16,-0.04,2.92,357623445496975872
12139,4833,2.53,1.36,-0.09,5.89,0.12,8.17,0.84,0.33,-0.32,0.01,1.89,2.45,0.23,-0.18,1.1,0.05,8.87,0.07,-0.18,2.62,94423107951456768
12339,5011,2.52,1.51,-0.03,5.22,0.08,7.65,0.52,-0.44,-0.26,-0.7,2.18,3.19,0.15,-0.15,1.21,0.04,8.48,0.05,-0.05,2.51,559491100295682048
12583,4969,2.51,1.45,0.0,5.87,0.1,9.91,0.88,0.75,-0.27,0.48,1.71,2.48,0.1,-0.1,0.99,0.04,8.78,0.05,-0.05,2.86,5148062498087925248
13468,4893,2.54,1.34,-0.16,5.94,0.09,9.2,0.83,0.67,-0.3,0.37,1.75,2.31,0.18,-0.3,1.02,0.04,8.92,0.16,-0.15,2.76,2494336311948357504
13692,4868,2.55,1.35,-0.12,5.86,0.1,8.17,0.81,0.32,-0.31,0.01,1.9,2.52,0.16,-0.19,1.1,0.05,8.8,0.11,-0.11,2.65,5124830916905105536
13994,4974,2.44,1.83,-0.11,5.99,0.52,4.59,0.69,-1.22,-0.27,-1.49,2.5,3.84,0.36,-0.31,1.38,0.07,8.28,0.1,-0.12,2.27,458574349694431488
14129,4936,2.61,1.37,-0.01,5.51,0.1,9.58,0.93,0.32,-0.28,0.04,1.88,2.7,0.12,-0.13,1.08,0.05,8.68,0.07,-0.05,2.71,2487740376053070592
14770,4977,2.47,1.47,0.01,5.19,0.17,8.69,0.67,-0.28,-0.27,-0.55,2.12,3.03,0.18,-0.1,1.19,0.04,8.54,0.04,-0.06,2.54,355431809584909696
15779,4846,2.63,1.26,0.0,5.36,0.07,12.27,1.13,0.73,-0.32,0.41,1.73,2.49,0.02,-0.27,1.02,0.04,8.78,0.15,-0.02,2.79,2500064286492779264
15920,5061,2.74,1.33,-0.06,5.17,0.29,12.73,0.54,0.4,-0.24,0.16,1.84,2.63,0.04,-0.05,1.03,0.03,8.71,0.02,-0.02,2.79,545900827338842752
16400,4785,2.35,1.33,-0.06,5.65,0.08,10.29,0.97,0.63,-0.34,0.29,1.78,2.43,0.09,-0.43,1.06,0.05,8.82,0.31,-0.05,2.71,2495420602212048640
16901,5624,1.42,3.17,0.0,5.43,0.37,4.71,0.89,-1.57,-0.11,-1.68,2.57,4.03,0.46,-0.35,1.31,0.09,8.21,0.11,-0.14,2.43,340647020322856192
17656,5100,2.67,1.37,-0.06,5.86,0.22,8.21,0.79,0.21,-0.23,-0.02,1.91,2.73,0.12,-0.11,1.06,0.05,8.66,0.05,-0.05,2.75,437104838965567360
17824,5051,2.82,1.19,-0.04,4.76,0.1,17.85,0.69,0.92,-0.24,0.68,1.63,2.37,0.04,-0.04,0.93,0.03,8.83,0.03,-0.02,2.95,5127513656557144576
18474,5013,2.38,1.42,-0.23,5.47,0.3,5.85,0.75,-0.99,-0.26,-1.25,2.4,3.59,0.24,-0.24,1.32,0.06,8.33,0.13,-0.07,2.35,434490715712928896
18953,5029,2.93,1.23,0.14,5.32,0.1,12.65,0.89,0.73,-0.25,0.48,1.71,2.53,0.08,-0.07,0.98,0.04,8.74,0.04,-0.04,2.89,5179985546890000000
18970,4791,2.44,1.3,-0.07,4.77,0.19,15.95,0.76,0.59,-0.34,0.25,1.8,2.44,0.09,-0.45,1.06,0.03,8.81,0.32,-0.06,2.7,460022372142253696
19476,4933,2.82,1.24,0.14,3.79,0.06,29.05,0.66,1.05,-0.28,0.76,1.59,2.36,0.03,-0.12,0.94,0.02,8.83,0.07,-0.02,2.94,433103132037681536
19525,4801,2.59,1.38,-0.11,6.28,0.08,6.97,1.09,0.42,-0.33,0.08,1.87,2.37,0.3,-0.25,1.09,0.07,8.88,0.15,-0.16,2.63,13898793343318144
19845,4968,2.86,1.3,0.14,5.93,0.17,10.47,0.68,0.86,-0.27,0.59,1.67,2.47,0.08,-0.07,0.96,0.03,8.77,0.04,-0.04,2.9,435535938955017984
20618,5049,3.08,1.1,-0.22,5.91,0.06,15.88,1.04,1.85,-0.25,1.61,1.26,1.85,0.06,-0.16,0.75,0.03,9.12,0.12,-0.04,3.21,118389162902876928
20791,4976,2.63,1.36,0.07,5.7,0.03,11.23,0.76,0.92,-0.27,0.66,1.64,2.42,0.07,-0.07,0.95,0.04,8.81,0.04,-0.04,2.93,3269395115068361856
20894,5119,2.67,1.44,-0.07,5.5,0.16,7.75,0.7,-0.21,-0.22,-0.43,2.07,2.97,0.16,-0.11,1.14,0.04,8.56,0.05,-0.06,2.63,5098203597139547136
21755,5012,2.45,1.39,-0.13,5.93,0.1,6.31,0.96,-0.17,-0.26,-0.43,2.07,2.95,0.29,-0.19,1.16,0.07,8.56,0.08,-0.1,2.59,3276200611007897472
22409,5005,2.67,1.32,-0.25,5.56,0.14,8.6,0.77,0.09,-0.26,-0.18,1.97,2.78,0.13,-0.12,1.11,0.04,8.62,0.05,-0.06,2.66,5163536127088403584
22675,4878,2.5,1.29,-0.06,5.86,0.15,8.35,0.74,0.32,-0.3,0.02,1.89,2.58,0.13,-0.15,1.09,0.04,8.76,0.09,-0.08,2.66,3243848890110396416
22796,4999,2.72,1.36,-0.1,5.55,0.06,8.14,0.85,0.04,-0.26,-0.22,1.99,2.76,0.19,-0.08,1.12,0.05,8.67,0.04,-0.1,2.64,3271222228516258944
23526,4837,2.5,1.3,-0.15,5.91,0.04,9.68,0.83,0.8,-0.32,0.48,1.71,2.27,0.12,-0.18,1.01,0.04,8.9,0.09,-0.07,2.78,3276860524145383040
26409,5012,2.67,1.42,0.03,5.44,0.05,8.65,0.82,0.08,-0.26,-0.18,1.97,2.82,0.12,-0.1,1.11,0.05,8.62,0.04,-0.05,2.67,3196262301738787968
27022,5314,2.92,1.29,-0.01,5.26,0.25,9.8,0.67,-0.03,-0.17,-0.21,1.98,2.84,0.09,-0.08,1.06,0.04,8.62,0.04,-0.04,2.76,477209491229638528
27348,5001,2.75,1.26,0.05,4.93,0.45,14.42,0.83,0.27,-0.26,0.01,1.9,2.74,0.06,-0.07,1.07,0.03,8.66,0.03,-0.03,2.73,175909804473075968
27371,4923,2.57,1.34,0.1,3.65,0.06,21.17,1.17,0.22,-0.29,-0.07,1.93,2.8,0.07,-0.22,1.1,0.03,8.63,0.18,-0.03,2.68,3312052249215275904
27697,4984,2.64,1.38,0.12,3.77,0.06,21.29,0.93,0.35,-0.27,0.08,1.87,2.73,0.05,-0.12,1.06,0.03,8.66,0.1,-0.03,2.75,3314024566919613952
27971,4886,2.62,1.31,0.05,5.29,0.48,13.42,0.81,0.45,-0.3,0.15,1.84,2.56,0.11,-0.2,1.07,0.03,8.77,0.13,-0.08,2.71,171503786502766592
28100,5011,2.54,1.59,-0.08,4.69,0.24,7.17,0.81,-1.27,-0.26,-1.52,2.51,3.94,0.25,-0.21,1.38,0.05,8.23,0.06,-0.08,2.28,3310973422151441024
28305,4883,2.57,1.46,0.13,3.53,0.06,21.04,0.82,0.09,-0.3,-0.21,1.99,2.84,0.07,-0.16,1.14,0.03,8.62,0.13,-0.05,2.62,48026706558487040
28307,4924,2.63,1.24,0.1,3.84,0.08,20.66,0.85,0.34,-0.29,0.05,1.88,2.73,0.05,-0.13,1.08,0.03,8.66,0.07,-0.03,2.72,3312748824193704832
29737,4858,2.33,1.37,-0.45,5.56,0.21,10.34,0.69,0.42,-0.31,0.11,1.86,2.23,0.18,-0.31,1.08,0.04,8.93,0.13,-0.15,2.63,4894491786462064256
30557,4859,2.57,1.31,-0.02,5.64,0.34,10.16,0.75,0.33,-0.31,0.02,1.89,2.51,0.2,-0.09,1.1,0.04,8.84,0.02,-0.16,2.65,256031422949890432
30814,4842,2.54,1.34,-0.02,5.03,0.18,13.4,0.68,0.49,-0.32,0.17,1.83,2.49,0.13,-0.12,1.07,0.03,8.8,0.09,-0.08,2.7,2981103853463479040
32008,5235,3.21,1.1,-0.25,5.39,0.06,18.29,1.09,1.64,-0.2,1.45,1.32,1.96,0.05,-0.05,0.75,0.03,9.04,0.03,-0.03,3.24,3182967488171853824
33833,4963,2.67,1.33,-0.04,5.9,0.13,7.31,0.74,0.09,-0.27,-0.18,1.97,2.78,0.14,-0.14,1.12,0.05,8.65,0.11,-0.07,2.65,3208587277330249856
34538,4809,2.86,1.08,-0.39,5.48,0.05,20.69,0.78,2.01,-0.33,1.68,1.23,1.25,0.26,-0.2,0.77,0.03,9.65,0.28,-0.29,2.99,2988305826422644224
34559,4998,2.74,1.36,0.0,4.96,0.24,15.83,0.86,0.72,-0.26,0.46,1.72,2.49,0.06,-0.06,0.98,0.03,8.77,0.03,-0.03,2.87,3414635344059244032
35369,4852,2.44,1.33,-0.25,4.13,0.06,18.71,0.74,0.43,-0.31,0.12,1.85,2.33,0.23,-0.13,1.08,0.03,8.9,0.07,-0.19,2.65,3015112126066981376
35410,4809,2.58,1.17,-0.33,5.07,0.05,18.93,0.82,1.41,-0.33,1.07,1.47,1.69,0.26,-0.31,0.9,0.03,9.24,0.29,-0.2,2.88,3220473410343579136
36079,5209,2.45,1.62,-0.25,2.81,0.05,20.49,0.85,-0.68,-0.2,-0.89,2.25,3.29,0.07,-0.06,1.22,0.03,8.43,0.02,-0.02,2.52,2968097043228517120
37160,4704,2.49,1.19,-0.65,4.09,0.03,28.1,0.91,1.3,-0.38,0.92,1.53,1.08,0.21,-0.13,0.94,0.02,9.87,0.18,-0.27,2.58,3334901543952614528
38527,5046,2.77,1.19,-0.11,5.78,0.07,10.88,0.86,0.89,-0.25,0.64,1.64,2.36,0.09,-0.09,0.94,0.04,8.83,0.05,-0.05,2.93,3336235698233644928
38656,4901,2.5,1.35,-0.17,4.51,0.07,15.34,0.8,0.37,-0.3,0.08,1.87,2.57,0.07,-0.29,1.08,0.03,8.74,0.2,-0.05,2.69,191419859094194816
39004,5002,2.67,1.39,0.04,5.6,0.2,8.66,0.98,0.09,-0.26,-0.17,1.97,2.83,0.14,-0.12,1.11,0.05,8.62,0.05,-0.06,2.67,3443049576380598400
39007,4994,2.69,1.16,0.08,5.79,0.08,9.77,0.88,0.66,-0.26,0.4,1.74,2.55,0.1,-0.1,1.0,0.04,8.74,0.05,-0.05,2.85,3335865334613307136
39019,4964,2.91,1.3,0.19,5.54,0.07,10.44,1.09,0.56,-0.27,0.29,1.79,2.65,0.12,-0.12,1.03,0.05,8.69,0.05,-0.06,2.81,3347092001169941248
39364,4593,2.3,1.18,-0.72,3.76,0.04,29.05,0.62,1.04,-0.43,0.61,1.66,0.94,0.19,-0.03,1.03,0.02,10.03,0.03,-0.3,2.36,2965792913525710976
41361,4921,2.12,1.82,-0.08,5.67,0.31,2.96,0.87,-2.28,-0.29,-2.57,2.93,4.79,0.19,-0.39,1.6,0.13,8.05,0.08,-0.08,1.91,3318535210294550144
41597,4494,1.69,1.46,-0.62,5.35,0.05,9.34,0.69,0.15,-0.49,-0.35,2.04,1.34,0.69,-0.15,1.24,0.04,9.58,0.23,-0.64,2.09,999468409091291264
43023,5005,2.71,1.3,-0.1,5.83,0.06,10.36,0.73,0.85,-0.26,0.59,1.66,2.38,0.08,-0.08,0.96,0.04,8.82,0.06,-0.04,2.9,3021524580959406592
43039,4726,2.27,1.4,-0.32,4.32,0.05,19.31,0.83,0.7,-0.37,0.33,1.77,1.86,0.29,-0.06,1.06,0.03,9.12,0.03,-0.19,2.59,3436911415277140224
45410,4978,3.16,1.1,-0.13,5.86,0.03,17.56,0.76,2.05,-0.27,1.78,1.19,1.71,0.12,-0.21,0.72,0.03,9.24,0.2,-0.09,3.23,1004358968092652544
45415,4753,2.39,1.33,-0.12,5.55,0.11,11.15,0.76,0.68,-0.36,0.33,1.77,1.96,0.41,-0.06,1.05,0.04,9.12,0.02,-0.27,2.62,3124311910086822912
46241,4919,2.57,1.37,-0.05,5.88,0.19,6.3,0.94,-0.31,-0.29,-0.6,2.14,3.04,0.3,-0.22,1.21,0.07,8.53,0.11,-0.09,2.5,3131331226678059008
46480,4866,3.04,1.05,-0.55,5.94,0.03,18.82,0.82,2.28,-0.31,1.97,1.11,1.08,0.21,-0.16,0.71,0.03,9.94,0.22,-0.28,3.06,1003703727881026304
48432,4891,2.83,1.19,-0.11,5.34,0.03,15.69,0.74,1.29,-0.3,0.99,1.51,2.12,0.07,-0.18,0.9,0.03,8.97,0.15,-0.04,2.97,1001083179355501440
50522,4850,2.71,0.96,0.04,4.35,0.03,19.14,0.76,0.73,-0.31,0.42,1.73,2.5,0.04,-0.51,1.02,0.03,8.77,0.37,-0.02,2.8,1002340161664794240
51000,5203,2.94,1.33,-0.06,5.91,0.05,8.47,0.92,0.5,-0.2,0.3,1.78,2.56,0.13,-0.11,0.98,0.05,8.73,0.05,-0.06,2.89,939067940410703744
51814,4846,2.23,1.57,-0.02,5.96,0.16,3.52,0.87,-1.47,-0.32,-1.79,2.61,4.17,0.71,-0.48,1.46,0.11,8.16,0.15,-0.17,2.14,3127973043290001152
53329,4888,2.35,1.35,-0.48,5.55,0.01,10.68,0.88,0.68,-0.3,0.37,1.75,1.99,0.27,-0.21,1.02,0.04,9.05,0.12,-0.2,2.7,891499665778659072
54131,4737,2.37,1.31,-0.18,5.47,0.08,10.68,0.82,0.53,-0.36,0.17,1.83,2.26,0.15,-0.35,1.09,0.04,8.91,0.22,-0.08,2.62,3360116987709997568
54810,4703,2.48,1.23,-0.32,4.91,0.04,15.45,0.78,0.81,-0.38,0.43,1.73,2.09,0.08,-0.57,1.04,0.03,8.96,0.42,-0.05,2.68,3059491988786433536
55730,4810,2.47,1.38,-0.17,5.71,0.08,9.85,0.85,0.6,-0.33,0.27,1.79,2.33,0.13,-0.43,1.06,0.04,8.86,0.28,-0.06,2.7,3160077236630547328
57478,5032,2.35,1.43,-0.04,5.59,0.12,5.86,0.74,-0.69,-0.25,-0.94,2.28,3.42,0.28,-0.25,1.26,0.06,8.4,0.09,-0.09,2.46,3031854561430147456
57727,5001,2.89,1.18,-0.12,5.04,0.0,21.17,0.91,1.67,-0.26,1.41,1.34,1.96,0.05,-0.13,0.79,0.03,9.07,0.11,-0.04,3.14,870205595882108800
58367,4911,1.76,2.04,-0.14,4.99,0.2,3.3,0.88,-2.62,-0.29,-2.91,3.07,4.78,0.22,-0.17,1.67,0.12,8.03,0.05,-0.04,1.77,3155451625572457344
60986,5059,2.78,1.31,0.03,5.58,0.01,10.65,0.97,0.71,-0.24,0.47,1.71,2.5,0.1,-0.09,0.97,0.04,8.77,0.05,-0.05,2.89,895232026718165888
61363,4762,2.33,1.38,-0.31,5.58,0.05,10.01,0.85,0.53,-0.35,0.18,1.83,2.12,0.15,-0.2,1.08,0.04,8.96,0.13,-0.07,2.6,975788673840275328
62345,4979,2.58,1.39,-0.06,3.57,0.0,22.73,0.83,0.35,-0.27,0.08,1.87,2.65,0.04,-0.18,1.06,0.03,8.7,0.15,-0.02,2.74,867815979158660352
62509,4904,2.84,1.26,0.06,1.16,0.0,96.74,0.87,1.09,-0.29,0.8,1.58,2.31,0.03,-0.33,0.93,0.02,8.86,0.21,-0.01,2.94,
64152,5017,2.89,1.18,0.07,5.62,0.06,11.9,0.73,0.94,-0.25,0.69,1.62,2.41,0.06,-0.07,0.93,0.03,8.81,0.04,-0.03,2.95,5712376704933582080
65228,5932,1.96,3.3,0.01,4.2,0.09,6.49,0.7,-1.83,-0.07,-1.9,2.66,4.18,0.26,-0.22,1.31,0.05,8.16,0.07,-0.08,2.45,5711199471578643200
65345,4983,2.73,1.27,-0.05,5.3,0.0,12.33,0.96,0.75,-0.27,0.48,1.71,2.45,0.09,-0.08,0.98,0.04,8.79,0.04,-0.04,2.86,3087915773104836608
65714,4923,2.45,1.53,0.08,5.87,0.44,2.9,0.89,-2.26,-0.29,-2.55,2.92,4.91,0.09,-0.5,1.6,0.14,7.97,0.1,-0.01,1.93,682015625213452160
67447,4974,2.12,2.12,-0.06,5.34,0.04,3.07,0.65,-2.26,-0.27,-2.53,2.91,4.85,0.1,-0.29,1.59,0.1,8.03,0.08,-0.06,1.95,1097089442316408576
68077,4881,2.48,1.48,-0.01,5.88,0.07,6.59,0.73,-0.1,-0.3,-0.4,2.06,2.89,0.21,-0.17,1.18,0.05,8.61,0.09,-0.1,2.55,1033475857061476608
68290,5028,2.92,1.21,0.06,4.72,0.04,17.64,0.69,0.91,-0.25,0.66,1.64,2.41,0.04,-0.04,0.94,0.03,8.81,0.02,-0.03,2.94,5726736979617591808
68312,5037,2.7,1.3,-0.12,5.36,0.03,10.32,0.87,0.4,-0.25,0.15,1.84,2.61,0.12,-0.1,1.04,0.04,8.71,0.05,-0.05,2.78,3063621307772865920
68375,5041,2.77,1.29,-0.09,5.55,0.0,11.18,0.58,0.79,-0.25,0.54,1.68,2.42,0.05,-0.05,0.96,0.03,8.8,0.03,-0.03,2.9,1137182755866748416
71088,4944,2.75,1.33,-0.07,5.89,0.0,10.12,0.62,0.92,-0.28,0.64,1.64,2.33,0.07,-0.08,0.96,0.03,8.85,0.04,-0.04,2.89,1093722565913923840
71115,5062,2.53,1.49,-0.07,5.13,0.0,9.08,0.87,-0.08,-0.24,-0.32,2.03,2.9,0.14,-0.12,1.13,0.05,8.59,0.05,-0.06,2.64,599009541062160000
71369,5242,2.64,1.51,-0.09,3.35,0.0,17.76,0.65,-0.4,-0.19,-0.59,2.14,3.09,0.07,-0.07,1.15,0.03,8.51,0.02,-0.02,2.62,1041808368494264576
73017,4735,2.44,1.2,-0.54,5.66,0.06,13.55,0.71,1.26,-0.37,0.89,1.54,1.31,0.32,-0.2,0.95,0.03,9.63,0.27,-0.29,2.67,1030228552547581312
73593,4755,2.62,1.16,-0.23,5.35,0.06,18.11,0.76,1.58,-0.35,1.23,1.41,1.48,0.34,-0.22,0.87,0.03,9.45,0.25,-0.29,2.86,917553620294336128
74395,5257,1.68,2.47,-0.07,4.63,0.17,5.4,0.96,-1.88,-0.19,-2.07,2.73,4.44,0.36,-0.34,1.45,0.08,8.08,0.1,-0.05,2.2,5754141722822178432
74739,4905,2.25,1.8,-0.06,4.03,0.0,10.94,1.35,-0.77,-0.29,-1.06,2.33,3.43,0.3,-0.19,1.31,0.06,8.42,0.08,-0.1,2.36,705156050012755712
74918,5063,2.7,1.34,-0.14,4.32,0.12,14.38,1.51,-0.01,-0.24,-0.25,2.0,2.86,0.15,-0.14,1.12,0.05,8.6,0.1,-0.06,2.66,5735066776630042112
75506,4811,2.35,1.38,-0.35,5.15,0.07,11.91,0.72,0.46,-0.33,0.13,1.85,2.05,0.37,-0.11,1.08,0.03,9.06,0.03,-0.24,2.58,913924583384303872
76219,4904,2.13,1.75,-0.15,5.23,0.06,5.68,0.84,-1.06,-0.29,-1.35,2.44,3.59,0.36,-0.3,1.36,0.07,8.37,0.11,-0.13,2.27,692906219167392384
76294,4844,2.3,1.41,-0.11,3.11,0.03,21.64,0.99,-0.24,-0.32,-0.56,2.12,2.93,0.12,-0.1,1.22,0.03,8.6,0.07,-0.06,2.48,583588100209595776
76813,5043,2.64,1.33,-0.06,5.23,0.0,10.19,0.75,0.27,-0.25,0.02,1.89,2.7,0.09,-0.08,1.06,0.04,8.67,0.04,-0.04,2.74,712117436084443008
77912,4899,1.75,2.13,-0.14,4.56,0.07,4.81,0.76,-2.1,-0.3,-2.39,2.86,4.6,0.23,-0.24,1.57,0.07,8.08,0.06,-0.07,1.96,719103698606421888
78235,5123,3.0,1.19,-0.03,5.42,0.0,12.56,0.81,0.91,-0.22,0.69,1.63,2.38,0.06,-0.07,0.92,0.03,8.83,0.04,-0.03,2.98,699345612094125440
78668,5020,2.74,1.28,-0.07,5.76,0.16,7.09,0.93,-0.15,-0.25,-0.41,2.06,2.94,0.24,-0.16,1.15,0.06,8.57,0.07,-0.09,2.6,5736048503072993152
79181,4842,2.47,1.35,-0.29,5.72,0.11,10.85,0.74,0.79,-0.32,0.47,1.71,2.1,0.12,-0.12,1.01,0.04,8.97,0.05,-0.07,2.74,5679582499313038080
79452,4990,2.27,1.47,-0.74,5.98,0.07,7.17,0.9,0.19,-0.27,-0.08,1.93,2.04,0.45,-0.14,1.09,0.06,9.01,0.04,-0.31,2.56,714079652021800320
80499,5033,2.44,1.46,-0.09,4.77,0.12,10.2,0.83,-0.31,-0.25,-0.56,2.12,3.05,0.17,-0.11,1.18,0.04,8.53,0.04,-0.06,2.56,5738958360595725312
81688,4771,2.26,1.36,-0.34,5.4,0.1,11.33,0.84,0.57,-0.35,0.22,1.81,2.07,0.14,-0.16,1.07,0.04,8.98,0.1,-0.08,2.61,818464227945910016
82087,4867,2.59,1.33,0.02,5.87,0.14,6.33,0.9,-0.26,-0.31,-0.57,2.13,3.05,0.3,-0.25,1.21,0.07,8.53,0.14,-0.11,2.5,797423561120416128
82210,5299,3.49,1.13,-0.21,4.54,0.0,30.89,0.55,1.99,-0.18,1.81,1.18,1.81,0.04,-0.04,0.66,0.02,9.15,0.02,-0.01,3.37,1071133340038904320
82734,4959,2.62,1.61,0.17,5.02,0.12,9.76,0.69,-0.15,-0.27,-0.43,2.07,3.03,0.12,-0.1,1.17,0.04,8.52,0.04,-0.04,2.58,5676911545051183872
82741,4801,2.42,1.31,-0.22,4.81,0.08,14.23,0.81,0.5,-0.34,0.16,1.84,2.17,0.3,-0.25,1.08,0.03,9.0,0.11,-0.19,2.62,812966291849963008
83506,4860,2.36,1.7,0.07,5.15,0.0,7.38,0.57,-0.51,-0.31,-0.82,2.23,3.3,0.15,-0.21,1.26,0.04,8.44,0.15,-0.06,2.43,1120033123252071168
83805,4997,2.64,1.33,0.01,5.61,0.11,9.59,0.74,0.41,-0.26,0.15,1.84,2.65,0.1,-0.12,1.05,0.04,8.7,0.09,-0.05,2.77,801367371890645248
84441,5385,2.18,1.88,-0.09,2.97,0.03,13.01,0.88,-1.49,-0.16,-1.65,2.56,4.01,0.14,-0.13,1.34,0.04,8.21,0.04,-0.05,2.36,641662895638787584
85444,5045,2.56,1.35,-0.01,4.11,0.1,11.92,0.81,-0.61,-0.25,-0.86,2.24,3.34,0.16,-0.14,1.24,0.04,8.43,0.05,-0.05,2.48,5687035813759862272
91190,4962,2.59,1.33,-0.03,4.86,0.0,12.68,0.55,0.38,-0.27,0.11,1.86,2.66,0.05,-0.12,1.06,0.03,8.7,0.08,-0.02,2.74,1126897477422999936
91612,4920,2.55,1.31,-0.2,5.07,0.02,10.23,0.78,0.1,-0.29,-0.19,1.98,2.6,0.21,-0.11,1.13,0.04,8.78,0.06,-0.17,2.6,3862530682761469184
92125,5468,2.22,2.07,0.03,4.68,0.05,6.88,0.82,-1.18,-0.14,-1.32,2.43,3.72,0.26,-0.21,1.26,0.06,8.3,0.07,-0.08,2.48,736193339116006656
93291,5039,2.74,1.28,-0.1,5.49,0.02,11.34,0.86,0.74,-0.25,0.49,1.7,2.43,0.09,-0.09,0.97,0.04,8.79,0.1,-0.04,2.88,3885044901326958592
94402,4984,2.64,1.36,0.03,5.45,0.02,10.45,0.81,0.53,-0.27,0.27,1.79,2.59,0.1,-0.09,1.03,0.04,8.73,0.05,-0.05,2.8,3801987483727106432
94497,4804,2.69,1.24,-0.14,5.73,0.05,10.69,0.77,0.82,-0.33,0.48,1.71,1.96,0.36,-0.08,1.01,0.04,9.12,0.02,-0.24,2.7,738199432440796288
95808,4935,2.62,1.29,-0.09,5.51,0.11,10.24,0.88,0.45,-0.28,0.16,1.84,2.58,0.12,-0.2,1.05,0.04,8.74,0.13,-0.07,2.74,3758364188096835712
98839,4936,2.3,1.78,-0.05,4.99,0.08,6.63,0.63,-0.98,-0.28,-1.26,2.41,3.69,0.22,-0.2,1.34,0.05,8.33,0.07,-0.07,2.33,783826381854457088
99055,5060,2.65,1.38,-0.05,5.39,0.02,8.93,0.83,0.12,-0.24,-0.12,1.95,2.78,0.12,-0.11,1.09,0.05,8.64,0.05,-0.05,2.7,3798620396870508032
99283,4883,2.59,1.37,-0.17,5.73,0.0,9.38,0.71,0.59,-0.3,0.29,1.79,2.29,0.22,-0.12,1.04,0.04,8.93,0.07,-0.18,2.72,844058831415683712
99648,5002,2.4,1.63,-0.01,4.95,0.02,5.25,0.84,-1.47,-0.26,-1.73,2.59,4.21,0.39,-0.32,1.42,0.07,8.15,0.1,-0.11,2.22,3812336190247422336
100615,4827,2.6,1.34,-0.12,5.63,0.0,7.94,0.67,0.13,-0.32,-0.2,1.98,2.57,0.14,-0.13,1.15,0.04,8.79,0.07,-0.07,2.56,841456081234583552
100696,4833,2.32,1.35,-0.33,5.19,0.0,13.49,0.51,0.84,-0.32,0.52,1.69,2.01,0.13,-0.13,1.0,0.03,9.01,0.07,-0.05,2.74,1061520550394795392
100920,4835,2.47,1.32,-0.19,4.3,0.02,18.31,0.89,0.59,-0.32,0.27,1.79,2.23,0.2,-0.3,1.05,0.03,8.97,0.16,-0.13,2.69,3794167001116704000
101484,4893,2.7,1.24,0.03,5.26,0.04,14.04,0.87,0.96,-0.3,0.66,1.64,2.38,0.08,-0.31,0.96,0.03,8.83,0.19,-0.04,2.89,3979585824525695616
102070,4992,2.6,1.51,0.03,4.71,0.21,9.31,0.81,-0.66,-0.26,-0.92,2.27,3.42,0.19,-0.18,1.26,0.04,8.4,0.06,-0.07,2.45,3544125550016418048
