name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
HD 184010 b,Confirmed,0.3,0.07,0.07,0.3,0.07,0.07,,,,484.4,3.5,3.5,0.937,0.003,0.003,0.037,0.012,0.012,,,,,2022.0,2022-09-21,122.6,246.0,246.0,2454729.7,72.0,72.0,,,,,,,,,,,,,,,,,,,7.7,1.0,1.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 184010,292.841666674,26.617222235,3.17,5.9,,,,,61.37,,,-0.17,0.1,0.1,1.35,0.2,0.2,4.86,0.49,0.49,K0III-IV D,2.76,0.95,0.95,4971.0,,,,,,HD 184010,Gaia DR3 2024845946447691264,2024845946447691264,EAPSNet1_stellar_params_with_gaia_id.csv,16.294030743694726,5.88639
HD 18742 b,Confirmed,3.4,1.2,1.2,3.4,1.2,1.2,1.166,,,766.0,25.0,25.0,1.82,0.14,0.14,0.04,0.035,0.035,,,,0.014222,2011.0,2018-12-21,190.0,74.0,74.0,2455280.0,140.0,140.0,,,,,,,,,,,,,,,,,,,61.0,22.0,22.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 18742,45.0444,-20.80261,3.13,7.81,,,,,135.0,14.0,14.0,-0.04,0.03,0.03,1.36,0.11,0.11,5.13,0.1,0.1,G8/K0,2.3,0.5,0.5,4940.0,44.0,44.0,,,,HD 18742,Gaia DR3 5079636934554540160,5079636934554540160,keck_hires_with_gaia_id.csv,6.185754203159452,7.81
HD 192699 b,Confirmed,2.096,0.093,0.093,2.096,0.093,0.093,1.206,,,340.94,0.92,0.92,1.063,0.049,0.049,0.082,0.041,0.041,,,,0.017313,2007.0,2018-12-30,87.0,37.0,37.0,2454079.0,36.0,36.0,,,,,,,,,,,,,,,,,,,49.3,2.1,2.1,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 192699,304.02502,4.58079,3.39,6.44,,,,,67.0,,,-0.15,0.04,0.04,1.38,0.12,0.12,4.41,0.51,0.51,G8IV,1.8,1.0,1.0,5041.0,44.0,44.0,,,,HD 192699,Gaia DR3 4246124829130366848,4246124829130366848,keck_hires_with_gaia_id.csv,13.726411447971504,6.45591
HD 200964 b,Confirmed,1.85,0.08,0.08,1.85,0.08,0.08,,,,613.8,1.4,1.4,1.601,0.002,0.002,0.04,0.02,0.02,,,,0.023406,2010.0,2014-05-26,288.0,111.9,111.9,2454900.0,89.3,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 200964,316.6666667,3.8030556,3.25,6.64,,,,,68.4,4.8,4.8,-0.15,0.04,0.04,1.44,0.09,0.09,4.3,0.09,0.09,G8IV,3.0,0.6,0.6,5164.0,44.0,44.0,,,,HD 200964,Gaia DR3 1732018855730384256,1732018855730384256,keck_hires_with_gaia_id.csv,13.76563665259695,6.48605
HD 202696 b,Confirmed,1.991,0.011,0.011,1.991,0.011,0.011,,,,528.2,12.5,12.5,1.587,0.025,0.025,0.026,0.006,0.006,,,,,2018.0,2019-01-09,289.7,91.8,91.8,,,,,,,,,,,,,,,,,,,,,,32.5,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 202696,319.225000018,27.258055567,2.97,8.23,,,,,188.5,1.6,1.6,0.02,0.04,0.04,1.91,0.14,0.14,6.01,0.19,0.19,K0III IV,1.32,0.25,0.25,5040.0,85.0,85.0,,,,HD 202696,Gaia DR3 1847742385838236416,1847742385838236416,keck_hires_with_gaia_id.csv,5.453588224054991,8.23
HD 206610 b,Confirmed,2.2,0.1,0.1,2.2,0.1,0.1,,,,610.0,13.0,13.0,1.68,0.05,0.05,0.229,0.058,0.058,,,,0.00866,2010.0,2010-03-18,296.0,10.0,10.0,2454677.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 206610,325.8541667,-7.4083333,3.1,8.34,,,,,194.0,36.0,36.0,0.14,0.03,0.03,1.56,0.11,0.11,6.1,0.1,0.1,K0,3.0,1.0,1.0,4874.0,44.0,44.0,,,,HD 206610,Gaia DR3 2667434008056899712,2667434008056899712,keck_hires_with_gaia_id.csv,6.763744883159931,8.34
HD 208897 b,Confirmed,1.4,0.08,0.08,1.4,0.08,0.08,,,,352.7,1.7,1.7,1.05,0.03,0.03,0.07,0.06,0.06,,,,,2017.0,2017-08-09,167.0,83.0,83.0,2455036.0,82.0,82.0,,,,,,,,,,,,,,,,,,,34.7,2.2,2.2,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 208897,329.748714103,19.0203037532,3.38,6.51,,,,,64.68,,,0.21,0.15,0.15,1.25,0.11,0.11,4.98,0.2,0.2,K0,,,,4860.0,100.0,100.0,,,HIP 108513,HD 208897,Gaia DR3 1779772947826839808,1779772947826839808,PPPS_star_with_gaia_id.csv,14.959059205380507,6.50821
HD 210702 b,Confirmed,1.808,0.097,0.097,1.808,0.097,0.097,1.216,,,354.1,0.7,0.7,1.148,0.057,0.057,0.028,0.034,0.034,,,,0.020893,2007.0,2018-12-30,189.0,66.0,66.0,2454042.0,64.0,64.0,,,,,,,,,,,,,,,,,,,37.8,2.0,2.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 210702,332.9625,16.0405556,3.21,5.93,,,,,56.0,2.3,2.3,0.12,0.04,0.04,1.61,0.18,0.18,4.92,0.4,0.4,K1IV,1.4,1.0,1.0,4951.0,44.0,44.0,,,,HD 210702,Gaia DR3 1775004778213735168,1775004778213735168,keck_hires_with_gaia_id.csv,18.459330163303328,5.93022
HD 212771 b,Confirmed,2.3,0.4,0.4,2.3,0.4,0.4,,,,373.3,3.4,3.4,1.22,0.3,0.3,0.111,0.06,0.06,,,,0.009313,2010.0,2010-03-18,55.0,40.0,40.0,2454947.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 212771,336.7625,-17.2636111,3.44,7.6,,,,,131.0,14.0,14.0,-0.21,0.03,0.03,1.15,0.08,0.08,5.0,0.1,0.1,G8IV,6.0,2.0,2.0,5121.0,44.0,44.0,,,,HD 212771,Gaia DR3 2595360574179855104,2595360574179855104,keck_hires_with_gaia_id.csv,8.964810816058101,7.6
HD 216536 b,Confirmed,1.47,0.12,0.12,1.47,0.12,0.12,,,,148.6,0.7,0.7,0.609,0.002,0.002,0.38,0.12,0.12,,,,,2015.0,2016-01-10,270.0,21.0,21.0,2453587.0,11.0,11.0,,,,,,,,,,,,,,,,,,,50.0,4.0,4.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 216536,343.266550075224,44.4777438440351,2.36,9.23,,,,,,,,-0.17,0.09,0.09,1.36,0.38,0.38,12.5,4.0,4.0,K0,3.8,4.3,4.3,4639.0,45.0,45.0,,,,HD 216536,Gaia DR3 1935534781543619968,1935534781543619968,ptps_with_gaia_id.csv,2.690858435939406,9.229
HD 219139 b,Confirmed,0.78,0.2,0.2,0.78,0.2,0.2,,,,275.5,1.0,1.0,0.94,0.07,0.07,0.11,0.08,0.08,,,,,2021.0,2021-12-16,318.0,67.0,67.0,2455240.1,12.0,12.0,,,,,,,,,,,,,,,,,,,19.2,2.6,2.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219139,348.362500009,11.065000013,2.5,,,,,,,,,,,,,,,,,,G5 III,,,,,,,,,,HD 219139,Gaia DR3 2810597431380568448,2810597431380568448,EAPSNet1_stellar_params_with_gaia_id.csv,9.443269259359472,5.84863
HD 219415 b,Confirmed,1.0,,,1.0,,,,,,2093.3,32.7,32.7,3.2,,,,,,,,,,2012.0,2013-01-17,,,,2453460.9,57.7,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 219415,348.725,56.7303,3.51,8.94,,,,,,,,-0.04,0.07,0.07,1.0,0.1,0.1,2.9,0.4,0.4,K0III,,,,4820.0,20.0,20.0,,,,HD 219415,Gaia DR3 2009255593080688640,2009255593080688640,ptps_with_gaia_id.csv,6.044430612330233,8.909
HD 221585 b,Confirmed,1.61,0.14,0.14,1.61,0.14,0.14,,,,1173.0,16.0,16.0,2.306,0.081,0.081,0.123,0.069,0.069,,,,,2016.0,2016-04-29,,,,2455050.0,93.0,93.0,,,,,,,,,,,,,,,,,,,27.9,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 221585,353.225000018,63.1554805629,4.11,7.474,,,,,,,,0.29,0.02,0.02,1.19,0.12,0.12,,,,G8IV,6.2,0.5,0.5,5620.0,27.0,27.0,,,,HD 221585,Gaia DR3 2016655237613545728,2016655237613545728,ptps_with_gaia_id.csv,17.92402867734522,7.457
HD 222076 b,Confirmed,1.56,0.11,0.11,1.56,0.11,0.11,,,,871.0,19.0,19.0,1.83,0.03,0.03,0.08,0.05,0.05,,,,,2016.0,2017-06-29,241.0,60.0,60.0,2454264.0,180.0,180.0,,,,,,,,,,,,,,,,,,,31.9,2.3,2.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 222076,354.533333336,-70.903333354,3.31,7.48,,,,,83.5,4.3,4.3,0.05,0.1,0.1,1.07,0.25,0.25,4.14,0.6,0.6,,,,,4806.0,100.0,100.0,,,,HD 222076,Gaia DR3 6386468454774591744,6386468454774591744,PPPS_star_with_gaia_id.csv,10.908078413209507,7.47
HD 22532 b,Confirmed,2.12,0.09,0.09,2.12,0.09,0.09,,,,872.6,2.8,2.8,1.9,0.004,0.004,0.003,0.003,0.003,,,,,2022.0,2022-01-06,169.1,89.0,89.0,2455575.0,221.0,221.0,,,,,,,,,,,,,,,,,,,40.0,1.6,1.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 22532,53.816666672,-49.417500009,3.09,7.8,,,,,161.2,0.07,0.07,-0.19,0.02,0.02,1.57,0.07,0.07,5.69,0.07,0.07,G8,,,,5067.0,22.0,22.0,,,,HD 22532,Gaia DR3 4832768399133598080,4832768399133598080,coralie_star_with_gaia_id.csv,6.136018445182747,7.85
HD 233604 b,Confirmed,6.575,,,6.575,,,,,,192.0,0.22,0.22,0.747,,,0.05,0.03,0.03,,,,,2013.0,2013-04-30,281.0,83.0,83.0,2453022.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 233604,137.4542,53.5681,2.55,10.41,,,,,,,,-0.36,0.04,0.04,1.5,0.3,0.3,10.9,0.6,0.6,K5,2.4,1.8,1.8,4791.0,45.0,45.0,,,,HD 233604,Gaia DR3 1023492257121204352,1023492257121204352,ptps_with_gaia_id.csv,1.1491868683930029,10.291
HD 238914 b,Confirmed,6.0,2.7,2.7,6.0,2.7,2.7,,,,4100.0,240.0,240.0,5.7,0.9,0.9,0.56,0.05,0.05,,,,,2018.0,2020-03-08,318.0,8.0,8.0,2460540.0,250.0,250.0,,,,,,,,,,,,,,,,,,,71.0,11.0,11.0,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 238914,279.58333334,59.253888897,2.37,12.0,,,,,590.0,90.0,90.0,-0.25,0.09,0.09,1.47,0.47,0.47,12.73,3.89,3.89,K7,,,,4769.0,15.0,15.0,,,,HD 238914,Gaia DR3 2154807121292791040,2154807121292791040,ptps_with_gaia_id.csv,1.881836919858876,8.77
HD 240210 b,Confirmed,6.9,,,6.9,,,,,,501.75,2.33,2.33,1.33,,,0.15,0.02,0.02,,,,0.009301,2009.0,2014-08-27,277.49,7.77,7.77,2454487.38,10.93,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 240210,347.6208333,57.0294444,2.31,8.33,,,,,143.0,53.0,53.0,-0.18,0.12,0.12,1.25,0.25,0.25,,,,K3III,,,,4290.0,13.0,13.0,,,,HD 240210,Gaia DR3 2009148596857820160,2009148596857820160,ptps_with_gaia_id.csv,2.6380131111302108,8.27
HD 240237 b,Confirmed,5.3,,,5.3,,,,,,745.7,13.8,13.8,1.9,,,0.4,0.1,0.1,,,,0.001267,2010.0,2011-10-10,108.1,21.8,21.8,44292.0,28.3,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 240237,348.925,58.0433333,1.66,8.19,,,,,1500.0,,,-0.26,0.07,0.07,1.69,0.42,0.42,32.0,1.0,1.0,K2III,,,,4361.0,10.0,10.0,,,,HD 240237,Gaia DR3 2010336687886382592,2010336687886382592,ptps_with_gaia_id.csv,1.0840744208567414,8.19
HD 25723 b,Confirmed,2.51,,,2.51,,,,,,456.78,,,1.49,,,0.05,,,,,,,2020.0,2020-10-26,89.48,,,,,,,,,,,,,,,,,,,,,,,,40.09,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 25723,61.095833341,-12.795000025,2.5,5.6,,,,,117.9,4.93,4.93,-0.03,0.1,0.1,2.12,0.55,0.55,13.76,0.56,0.56,K1 III,0.95,0.25,0.25,4766.0,38.0,38.0,,,,HD 25723,Gaia DR3 3188967248247014784,3188967248247014784,lick_GK_survey_with_gaia_id.csv,8.7060836627139,5.60075
HD 27969 b,Confirmed,4.8,0.24,0.24,4.8,0.24,0.24,,,,654.5,5.8,5.8,1.552,0.033,0.033,0.182,0.019,0.019,,,,,2021.0,2021-07-14,106.6,7.7,7.7,2457020.8,7.3,7.3,,,,,,,,,,,,,,,,,,,103.6,2.8,2.8,261.0,11.0,11.0,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 27969,66.70833335,42.908611136,4.0,7.65,,,,,68.06,0.04,0.04,0.18,0.02,0.02,1.16,0.07,0.07,1.27,0.1,0.1,G0V,,,,5966.0,21.0,21.0,,,,HD 27969,Gaia DR3 228532602782156288,228532602782156288,ptps_with_gaia_id.csv,14.78362816879885,7.66
HD 28678 b,Confirmed,1.7,0.1,0.1,1.7,0.1,0.1,,,,387.1,4.2,4.2,1.24,0.03,0.03,0.168,0.068,0.068,,,,0.005463,2011.0,2011-09-01,131.0,30.0,30.0,2455517.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 28678,67.8541667,4.5752778,3.21,8.54,,,,,227.0,48.0,48.0,-0.11,0.03,0.03,1.74,0.12,0.12,6.2,0.1,0.1,K0D,1.8,0.7,0.7,5076.0,44.0,44.0,,,,HD 28678,Gaia DR3 3282351760091020672,3282351760091020672,keck_hires_with_gaia_id.csv,5.367787074244448,8.38
HD 29399 b,Confirmed,1.57,0.11,0.11,1.57,0.11,0.11,,,,892.7,5.9,5.9,1.913,0.008,0.008,0.05,0.05,0.05,,,,,2021.0,2021-04-22,346.9,85.1,85.1,2455965.0,210.0,210.0,,,,,,,,,,,,,,,,,,,29.9,2.2,2.2,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 29399,68.391666678,-62.823611133,3.33,,,,,,44.2,0.1,0.1,0.14,0.03,0.03,1.15,0.04,0.04,4.47,0.02,0.02,K1III,6.2,0.5,0.5,4803.0,66.0,66.0,,,,HD 29399,Gaia DR3 4675576135153914368,4675576135153914368,PPPS_star_with_gaia_id.csv,22.723973526677145,5.79
HD 2952 b,Confirmed,1.6,,,1.6,,,,,,311.6,1.9,1.9,1.2,,,0.129,0.085,0.085,,,,,2013.0,2014-05-25,64.0,48.0,48.0,2450112.0,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 2952,8.2917,54.895,2.67,5.93,,,,,115.2,9.0,9.0,0.0,0.04,0.04,2.54,0.09,0.09,12.02,1.06,1.06,K0III,,,,4844.0,20.0,20.0,,,,HD 2952,Gaia DR3 418206501834841600,418206501834841600,EAPSNet1_stellar_params_with_gaia_id.csv,9.120480116543993,5.9258
HD 33142 b,Confirmed,1.261,,,1.261,,,1.235,,,329.7,,,1.075,,,0.052,0.0,0.0,,,,0.008413,2011.0,2022-06-09,116.0,,,2455329.0,42.0,42.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 33142,76.89809,-13.98648,3.37,7.96,,,,,126.0,11.0,11.0,0.05,0.03,0.03,1.54,0.1,0.1,4.36,0.1,0.1,K0III,3.0,0.4,0.4,4978.0,44.0,44.0,,,,HD 33142,Gaia DR3 2986948238799721216,2986948238799721216,keck_hires_with_gaia_id.csv,8.27187950328463,7.96
HD 33844 b,Confirmed,1.96,0.12,0.12,1.96,0.12,0.12,,,,551.4,7.8,7.8,1.6,0.02,0.02,0.15,0.07,0.07,,,,,2013.0,2015-12-24,211.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,33.5,2.0,2.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 33844,78.1504186042,-14.9511112784,3.14,,,,,,100.9,,,,,,1.75,,,,,,K0 III,2.1,0.3,0.3,4827.0,,,,,,HD 33844,Gaia DR3 2986593268342544768,2986593268342544768,keck_hires_with_gaia_id.csv,9.497435939297182,7.29
HD 360 b,Confirmed,0.75,0.15,0.15,0.75,0.15,0.15,,,,273.1,0.8,0.8,0.98,0.03,0.03,0.14,0.1,0.1,,,,,2021.0,2021-12-15,133.0,63.0,63.0,2455184.5,93.0,93.0,,,,,,,,,,,,,,,,,,,16.8,2.6,2.6,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 360,2.075000006,-8.824166689,3.01,,,,,,,,,,,,,,,,,,G8 III,,,,,,,,,,HD 360,Gaia DR3 2429415922764859392,2429415922764859392,express_post_MS_with_gaia_id.csv,9.011463712285307,5.986
HD 38529 b,Confirmed,0.93,0.11,0.11,0.78,,,,,,14.3104,0.0002,0.0002,0.131,0.0015,0.0015,0.248,0.007,0.007,57.0,14.0,14.0,0.003335,2000.0,2011-05-10,95.9,1.7,1.7,50020.19,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 38529,86.6416667,1.1680556,3.96,5.94,,,,,39.28,0.4,0.4,0.27,0.05,0.05,1.48,0.05,0.05,2.44,0.22,0.22,G4 IV,3.28,0.3,0.3,5697.0,,,IR Excess,,,HD 38529,Gaia DR3 3219847066672970368,3219847066672970368,ptps_with_gaia_id.csv,23.571371902224232,5.92848
HD 4313 b,Confirmed,2.3,0.2,0.2,2.3,0.2,0.2,,,,356.0,2.6,2.6,1.19,0.03,0.03,0.041,0.037,0.037,,,,0.008686,2010.0,2010-03-18,76.0,80.0,80.0,2454804.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 4313,11.4166667,7.845,3.26,7.83,,,,,137.0,14.0,14.0,0.14,0.03,0.03,1.72,0.12,0.12,4.9,0.1,0.1,G5 D,2.0,0.5,0.5,5035.0,44.0,44.0,,,,HD 4313,Gaia DR3 2557541493057378048,2557541493057378048,keck_hires_with_gaia_id.csv,7.449229983389154,7.83
HD 47366 b,Confirmed,1.75,0.2,0.2,1.75,0.2,0.2,,,,363.3,2.5,2.5,1.214,0.03,0.03,0.089,0.06,0.06,,,,,2016.0,2016-01-19,100.0,71.0,71.0,2450122.0,55.0,55.0,,,,,,,,,,,,,,,,,,,33.6,2.8,2.8,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 47366,99.420833347,-12.985000021,3.1,6.11,,,,,80.0,2.7,2.7,-0.02,0.09,0.09,1.81,0.13,0.13,7.3,0.33,0.33,K1III,1.61,0.53,0.53,4866.0,100.0,100.0,,,,HD 47366,Gaia DR3 2951804033248308480,2951804033248308480,PPPS_star_with_gaia_id.csv,11.91869882148848,6.11151
HD 4760 b,Confirmed,13.9,2.4,2.4,13.9,2.4,2.4,,,,434.0,3.0,3.0,1.14,0.08,0.08,0.23,0.06,0.06,,,,,2021.0,2021-10-19,265.0,16.0,16.0,2453955.0,27.0,27.0,,,,,,,,,,,,,,,,,,,370.0,9.0,9.0,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 4760,12.4162576229,6.40714190891,1.62,7.49,,,,,,,,-0.91,0.09,0.09,1.05,0.19,0.19,42.4,9.2,9.2,K2,,,,4076.0,15.0,15.0,,,,HD 4760,Gaia DR3 2556428551067486720,2556428551067486720,ptps_with_gaia_id.csv,2.0437043528169125,7.51
HD 4917 b,Confirmed,1.615,0.09,0.09,1.615,0.09,0.09,1.224,,,400.5,1.7,1.7,,,,,,,,,,,2013.0,2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 4917,12.7761562585,-12.9276029344,2.85,8.04,,,,,134.4,,,,,,1.32,,,5.01,,,K0III/IV,2.4,0.5,0.5,4802.0,,,,,,HD 4917,Gaia DR3 2376225982619175424,2376225982619175424,keck_hires_with_gaia_id.csv,4.987585045920697,8.03
HD 5583 b,Confirmed,5.78,0.53,0.53,5.78,0.53,0.53,,,,139.35,0.22,0.22,0.53,0.02,0.02,0.076,0.023,0.023,,,,,2016.0,2016-03-21,12.0,6.0,6.0,2456021.0,18.0,18.0,,,,,,,,,,,,,,,,,,,225.8,4.0,4.0,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 5583,14.487500019,34.985555577,2.53,7.6,,,,,221.0,4.0,4.0,-0.5,0.18,0.18,1.01,0.1,0.1,9.09,1.5,1.5,K0,7.4,,,4830.0,45.0,45.0,,,,HD 5583,Gaia DR3 363012289421389056,363012289421389056,ptps_with_gaia_id.csv,4.6211161220925785,7.604
HD 5608 b,Confirmed,1.681,0.081,0.081,1.681,0.081,0.081,1.222,,,779.9,4.9,4.9,1.911,0.088,0.088,0.056,0.039,0.039,,,,,2012.0,2018-12-30,294.0,54.0,54.0,2452420.0,110.0,110.0,,,,,,,,,,,,,,,,,,,28.0,1.4,1.4,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 5608,14.55925,33.95089,3.03,5.99,,,,,58.2,2.8,2.8,0.06,0.04,0.04,1.53,0.2,0.2,5.14,0.4,0.4,K0IV,,,,4877.0,25.0,25.0,,,,HD 5608,Gaia DR3 362706006713454208,362706006713454208,EAPSNet1_stellar_params_with_gaia_id.csv,17.0697480739612,6.00272
HD 5891 b,Confirmed,7.6,0.4,0.4,7.6,0.4,0.4,,,,177.11,0.31,0.31,0.76,0.02,0.02,0.066,0.02,0.02,,,,0.003028,2011.0,2011-09-01,360.0,30.0,30.0,2455432.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 5891,15.1375,20.2925,2.5,8.25,,,,,251.0,76.0,76.0,-0.02,0.03,0.03,1.91,0.13,0.13,8.7,0.2,0.2,G5D,1.5,0.8,0.8,4907.0,44.0,44.0,,,,HD 5891,Gaia DR3 2788816827588309120,2788816827588309120,keck_hires_with_gaia_id.csv,3.583350127141407,8.09
HD 64121 b,Confirmed,2.56,0.19,0.19,2.56,0.19,0.19,,,,623.0,3.4,3.4,1.51,0.006,0.006,0.11,0.07,0.07,,,,,2022.0,2022-01-06,2.7,56.0,56.0,2455653.0,130.0,130.0,,,,,,,,,,,,,,,,,,,55.2,4.1,4.1,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 64121,117.366666676,-54.812222248,3.19,7.4,,,,,130.0,0.3,0.3,-0.21,0.02,0.02,1.64,0.06,0.06,5.44,0.07,0.07,G8/K0III,,,,5966.0,60.0,60.0,,,,HD 64121,Gaia DR3 5488303966125344512,5488303966125344512,coralie_star_with_gaia_id.csv,7.729714329156513,7.43
HD 69123 b,Confirmed,3.04,0.16,0.16,3.04,0.16,0.16,,,,1193.3,7.0,7.0,2.48,0.01,0.01,0.19,0.06,0.06,,,,,2022.0,2022-01-06,292.7,21.7,21.7,2455715.7,64.6,64.6,,,,,,,,,,,,,,,,,,,46.8,2.4,2.4,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 69123,123.554166671,-35.490000015,2.86,5.8,,,,,75.1,0.4,0.4,0.05,0.03,0.03,1.68,0.09,0.09,7.72,0.15,0.15,,,,,4787.0,50.0,50.0,,,,HD 69123,Gaia DR3 5544699390684005248,5544699390684005248,coralie_star_with_gaia_id.csv,13.29905124046114,5.77
HD 72490 b,Confirmed,1.768,0.08,0.08,1.768,0.08,0.08,1.218,,,858.0,12.0,12.0,1.88,0.21,0.21,0.124,0.046,0.046,,,,,2018.0,2018-12-20,145.0,23.0,23.0,2440320.0,230.0,230.0,,,,,,,,,,,,,,,,,,,33.5,1.5,1.5,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 72490,128.40271,13.55079,3.23,7.8,,,,,124.22,,,,,,1.21,,,4.96,,,G5,,,,4934.0,,,,,,HD 72490,Gaia DR3 603329694046441472,603329694046441472,keck_hires_with_gaia_id.csv,7.97448446381198,7.82
HD 76920 b,Confirmed,3.13,0.43,0.43,3.13,0.43,0.43,,,,415.89,0.04,0.04,1.187,0.05,0.05,0.8782,0.0025,0.0025,,,,,2017.0,2023-09-07,68.0,60.0,60.0,2454812.47,0.3,0.3,,,,,,,,,,,,,,,,,,,178.1,2.7,2.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,H,HD 76920,133.820833339,-67.265555573,2.94,7.8,,,,,184.8,7.5,7.5,-0.11,0.1,0.1,1.17,0.2,0.2,7.47,0.6,0.6,K1III,7.1,,,4698.0,100.0,100.0,,,,HD 76920,Gaia DR3 5224124307320401024,5224124307320401024,PPPS_star_with_gaia_id.csv,5.4617511388754565,7.83
