name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,log_g,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,Star Name,Gaia_ID,Gaia ID,source_file,parallax,vmag
HD 131496 b,Confirmed,2.2,0.2,0.2,2.2,0.2,0.2,,,,883.0,29.0,29.0,2.09,0.07,0.07,0.163,0.073,0.073,,,,0.019,2011.0,2011-09-01,22.0,40.0,40.0,2456040.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 131496,223.3458333,18.2352778,3.06,7.96,,,,,110.0,9.4,9.4,0.25,0.03,0.03,1.61,0.11,0.11,4.6,0.1,0.1,K0,2.7,0.5,0.5,4927.0,44.0,44.0,,,,HD 131496,Gaia DR3 1236429004715336576,1236429004715336576,keck_hires_with_gaia_id.csv,7.547029609012558,7.8
HD 13167 b,Confirmed,3.31,0.16,0.16,3.31,0.16,0.16,1.167,,,2613.0,17.0,17.0,4.1,0.43,0.43,0.563,0.033,0.033,,,,,2018.0,2018-12-20,265.0,6.0,6.0,2462162.0,54.0,54.0,,,,,,,,,,,,,,,,,,,48.2,2.7,2.7,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 13167,32.05743,-24.69541,3.78,8.34,,,,,149.6,,,,,,1.35,,,2.39,,,G3V,,,,5671.0,,,,,,HD 13167,Gaia DR3 5121479777262042112,5121479777262042112,keck_hires_with_gaia_id.csv,6.74576075584026,8.34
HD 136418 b,Confirmed,2.0,0.1,0.1,2.0,0.1,0.1,,,,464.3,3.2,3.2,1.32,0.03,0.03,0.255,0.041,0.041,,,,0.013442,2010.0,2010-03-18,12.0,10.0,10.0,2455228.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136418,229.7791667,41.7333333,3.38,7.88,,,,,98.2,5.6,5.6,-0.07,0.03,0.03,1.33,0.09,0.09,3.4,0.1,0.1,G5,4.0,1.0,1.0,5071.0,44.0,44.0,,,,HD 136418,Gaia DR3 1392396172224832896,1392396172224832896,keck_hires_with_gaia_id.csv,9.525500533977212,
HD 145457 b,Confirmed,2.9,,,2.9,,,,,,176.3,0.39,0.39,0.76,,,0.112,3.1,3.1,,,,0.006032,2010.0,2010-05-17,300.0,26.0,26.0,3518.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 145457,242.5166667,26.7427778,2.15,6.57,,,,,126.0,10.0,10.0,-0.14,0.09,0.09,1.9,0.3,0.3,9.9,0.5,0.5,K0,,,,4757.0,100.0,100.0,,,,HD 145457,Gaia DR3 1315900158983769472,1315900158983769472,EAPSNet3_stellar_params_with_gaia_id.csv,7.386701925327369,6.57226
HD 14787 b,Confirmed,1.121,0.069,0.069,1.121,0.069,0.069,1.25,,,676.6,8.1,8.1,1.7,0.17,0.17,0.155,0.073,0.073,,,,,2018.0,2018-12-20,343.0,28.0,28.0,2455555.0,49.0,49.0,,,,,,,,,,,,,,,,,,,20.7,1.3,1.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 14787,35.80856,10.83675,3.29,7.63,,,,,119.5,,,,,,1.43,,,5.01,,,G5,,,,4942.0,,,,,,HD 14787,Gaia DR3 24570756281835392,24570756281835392,keck_hires_with_gaia_id.csv,8.453916990456412,7.63
HD 1502 b,Confirmed,2.75,0.16,0.16,2.75,0.16,0.16,1.183,,,428.5,1.2,1.2,1.262,0.092,0.092,0.031,0.022,0.022,,,,0.008239,2011.0,2018-12-30,126.0,58.0,58.0,2455170.0,67.0,67.0,,,,,,,,,,,,,,,,,,,57.5,3.3,3.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 1502,4.82110991108,14.0547559396,3.21,8.36,,,,,159.0,19.0,19.0,0.09,0.03,0.03,1.46,0.11,0.11,4.67,0.1,0.1,K0D,2.4,0.5,0.5,4947.0,44.0,44.0,,,,HD 1502,Gaia DR3 2768172019308167296,2768172019308167296,keck_hires_with_gaia_id.csv,5.201773564189012,8.36
HD 152581 b,Confirmed,1.5,0.1,0.1,1.5,0.1,0.1,,,,689.0,13.0,13.0,1.48,0.04,0.04,0.22,inf,inf,,,,0.007957,2011.0,2011-09-01,321.0,90.0,90.0,2455320.0,190.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 152581,253.4333333,11.9736111,3.36,8.54,,,,,186.0,33.0,33.0,-0.46,0.03,0.03,0.927,0.065,0.065,4.8,0.1,0.1,K0,12.0,3.0,3.0,5155.0,44.0,44.0,,,,HD 152581,Gaia DR3 4448227641977175296,4448227641977175296,keck_hires_with_gaia_id.csv,6.080038746319377,8.38
HD 155233 b,Confirmed,31.9,5.3,5.3,2.6,0.3,0.3,,,,818.8,12.0,12.0,2.0,0.06,0.06,0.08,0.04,0.04,5.2,1.1,1.1,,2015.0,2023-12-17,157.0,50.0,50.0,2456282.0,192.0,192.0,,,,,,,,,,,,,,,,,,,40.5,3.1,3.1,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,HIP 84056,,HD 155233,257.766666668,-20.654444461,3.29,6.8,,,,,75.1,3.3,3.3,0.1,0.07,0.07,1.5,0.2,0.2,5.0,0.3,0.3,K1III,,,,4845.0,100.0,100.0,,,,HD 155233,Gaia DR3 4116106136072676608,4116106136072676608,PPPS_star_with_gaia_id.csv,13.366858579206085,6.81
HD 158038 b,Confirmed,1.8,0.2,0.2,1.8,0.2,0.2,,,,521.0,6.9,6.9,1.52,0.04,0.04,0.291,0.093,0.093,,,,0.014672,2011.0,2011-09-01,334.0,10.0,10.0,2455491.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 158038,261.4375,27.3033333,3.26,7.64,,,,,103.6,7.9,7.9,0.28,0.03,0.03,1.65,0.12,0.12,4.8,0.1,0.1,K2III,2.5,0.3,0.3,4897.0,44.0,44.0,,,,HD 158038,Gaia DR3 4574156834713113600,4574156834713113600,keck_hires_with_gaia_id.csv,10.56674499655675,7.47
HD 161178 b,Confirmed,0.57,0.16,0.16,0.57,0.16,0.16,,,,279.3,0.8,0.8,0.84,0.07,0.07,0.044,0.015,0.015,,,,,2021.0,2021-12-16,300.0,70.0,70.0,2455296.6,12.0,12.0,,,,,,,,,,,,,,,,,,,17.0,2.3,2.3,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 161178,264.283333336,72.455833347,2.33,,,,,,,,,,,,,,,,,,G9 III,,,,,,,,,,HD 161178,Gaia DR3 1651497186822868224,1651497186822868224,EAPSNet1_stellar_params_with_gaia_id.csv,9.30518369085009,5.88375
